iter	Passed	Remaining
143	8676	21449
144	8735	21386
145	8820	21386
146	8868	21297
147	8926	21231
148	8988	21173
149	9045	21105
150	9123	21086
151	9159	20969
152	9221	20913
153	9288	20869
154	9371	20858
155	9423	20779
156	9482	20715
157	9522	20613
158	9582	20551
159	9645	20496
160	9713	20453
161	9778	20401
162	9844	20353
163	9897	20277
164	9959	20220
165	10016	20153
166	10100	20140
167	10143	20045
168	10195	19968
169	10236	19870
170	10277	19773
171	10334	19707
172	10408	19673
173	10455	19588
174	10497	19496
175	10551	19424
176	10618	19377
177	10671	19304
178	10726	19236
179	10783	19170
180	10859	19139
181	10916	19073
182	10977	19015
183	11047	18972
184	11102	18904
185	11158	18836
186	11198	18744
187	11235	18646
188	11286	18572
189	11369	18549
190	11429	18490
191	11478	18413
192	11554	18379
193	11630	18345
194	11685	18276
195	11743	18214
196	11796	18143
197	11848	18072
198	11923	18035
199	11971	17957
200	12028	17893
201	12070	17806
202	12130	17747
203	12186	17682
204	12257	17638
205	12337	17607
206	12386	17533
207	12441	17465
208	12508	17415
209	12566	17354
210	12649	17325
211	12711	17268
212	12777	17217
213	12846	17169
214	12901	17102
215	12985	17073
216	13070	17046
217	13135	16992
218	13211	16951
219	13314	16945
220	13362	16868
221	13407	16789
222	13464	16725
223	13536	16678
224	13593	16614
225	13637	16533
226	13694	16469
227	13760	16415
228	13818	16353
229	13874	16287
230	13931	16222
231	14024	16200
232	14113	16173
233	14200	16142
234	14256	16076
235	14310	16008
236	14365	15941
237	14408	15861
238	14478	15811
239	14535	15746
240	14595	15685
241	14639	15607
242	14693	15540
243	14760	15486
244	14819	15423
245	14891	15375
246	14943	15306
247	14987	15228
248	15065	15186
249	15103	15103
250	15166	15045
251	15231	14989
252	15281	14919
253	15336	14853
254	15378	14775
255	15442	14718
256	15503	14658
257	15545	14581
258	15599	14515
259	15647	14443
260	15684	14362
261	15767	14322
262	15856	14289
263	15938	14248
264	15994	14183
265	16052	14121
266	16128	14074
267	16181	14008
268	16270	13971
269	16327	13908
270	16385	13846
271	16442	13782
272	16490	13712
273	16540	13643
274	16587	13571
275	16639	13504
276	16704	13448
277	16763	13386
278	16834	13335
279	16882	13264
280	16928	13193
281	16993	13137
282	17033	13061
283	17098	13004
284	17148	12936
285	17209	12877
286	17251	12803
287	17310	12742
288	17374	12684
289	17415	12611
290	17462	12541
291	17526	12484
292	17603	12436
293	17656	12371
294	17709	12306
295	17770	12247
296	17824	12182
297	17898	12132
298	17950	12067
299	18003	12002
300	18061	11940
301	18124	11882
302	18197	11831
303	18247	11764
304	18310	11706
305	18388	11658
306	18485	11621
307	18549	11563
308	18605	11500
309	18659	11436
310	18702	11365
311	18765	11307
312	18860	11267
313	18927	11211
314	18990	11153
315	19049	11091
316	19109	11031
317	19196	10986
318	19282	10941
319	19342	10880
320	19392	10813
321	19459	10757
322	19504	10688
323	19561	10625
324	19637	10574
325	19737	10534
326	19804	10477
327	20001	10488
328	20194	10496
329	20263	10438
330	20363	10397
331	20421	10333
332	20466	10263
333	20633	10254
334	20684	10187
335	20740	10123
336	20807	10064
337	20908	10021
338	20994	9971
339	21107	9933
340	21169	9870
341	21233	9809
342	21316	9757
343	21372	9692
344	21433	9629
345	21490	9565
346	21549	9501
347	21595	9432
348	21653	9368
349	21716	9306
350	21794	9251
351	21926	9219
352	22012	9166
353	22075	9104
354	22130	9039
355	22194	8977
356	22290	8928
357	22381	8877
358	22451	8817
359	22506	8752
360	22580	8694
361	22653	8635
362	22725	8576
363	22805	8520
364	22894	8467
365	22952	8403
366	23059	8356
367	23178	8314
368	23257	8256
369	23328	8196
370	23369	8125
371	23478	8078
372	23540	8015
373	23607	7953
374	23689	7896
375	23721	7823
376	23796	7763
377	23866	7703
378	23959	7649
379	24028	7587
380	24076	7519
381	24141	7457
382	24221	7399
4249	7325
384	24302	7259
385	24380	7200
386	24433	7134
387	24503	7073
388	24545	70389389390	24393390390391	24488391391	24782	68392392	24848	67393	24641	6629
394394395	24765395395	25056	6580
913	6128
398	23986	6071
399	24030	6007
400	24098	5949
401	24159	5889
402	24214	5828
403	24267	5766
404	24337	5708
405	24444	5659
406	24511	5600
407	24574	5541
408	24648	5484
409	24782	5439
410	24836	5378
411	24917	5322
412	25021	5270
413	25092	5212
414	25177	5156
415	25259	5100
416	25425	5060
417	25497	5001
418	25544	4938
419	25599	4876
420	25674	4817
421	25744	4758
422	25809	4698
423	25888	4640
424	26001	4588
425	26053	4525
426	26120	4465
427	26201	4407
428	26338	4358
429	26377	4294
430	26420	4229
431	26477	4167
3888
434	433	26072	3435	434	26131	3436	25740	3710
437	436	26303	3438	437	26357	3439	438	26474	3678
439	26601	3627
440	26673	3568
441	26733	3508
442	26789	3446
443	26866	3388
444	26908	3446	445	26994	3447	446	27085	3211
447	27169	3449	448	27260	3096
449	27360	3040
450	27430	2980
451	27476	2917
452	27541	2454	453	27608	2455	27191	2623
	27423	2580
457	27476	2519
458	27537	2459
459	27605	2400
