city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Bhayandar,Bhayandar,19.3,72.85,India,IN,IND,Mahārāshtra,,814655.0,1356019118
Narela,Narela,28.85,77.1,India,IN,IND,Delhi,,809913.0,1356542019
Shīshgarh,Shishgarh,28.72,79.32,India,IN,IND,Uttar Pradesh,,753815.0,1356494610
Thiruvananthapuram,Thiruvananthapuram,8.4875,76.9525,India,IN,IND,Kerala,admin,743691.0,1356024354
Dispur,Dispur,26.15,91.77,India,IN,IND,Assam,admin,734577.0,1356960169
Durgāpur,Durgapur,23.55,87.32,India,IN,IND,West Bengal,,726000.0,1356045686
Bhiwandi,Bhiwandi,19.3,73.0667,India,IN,IND,Mahārāshtra,,709665.0,1356763571
Sahāranpur,Saharanpur,29.964,77.546,India,IN,IND,Uttar Pradesh,,705478.0,1356139858
Shiliguri,Shiliguri,26.72,88.42,India,IN,IND,West Bengal,,701489.0,1356724691
Āvadi,Avadi,13.1147,80.1098,India,IN,IND,Tamil Nādu,,695000.0,1356009111
Salem,Salem,11.65,78.1667,India,IN,IND,Tamil Nādu,,693236.0,1356567087
Jui,Jui,29.67,78.9098,India,IN,IND,Uttarākhand,,687271.0,1356963462
Amāldu,Amaldu,29.9333,78.5333,India,IN,IND,Uttarākhand,,687271.0,1356704923
Kimsar,Kimsar,34.5,74.5333,India,IN,IND,Jammu and Kashmīr,,687271.0,1356083629
Sindūri,Sinduri,30.7167,77.15,India,IN,IND,Himāchal Pradesh,,687271.0,1356353206
Kochi,Kochi,9.9667,76.2833,India,IN,IND,Kerala,,677381.0,1356707865
Gorakhpur,Gorakhpur,26.7611,83.3667,India,IN,IND,Uttar Pradesh,,673446.0,1356190221
Guntūr,Guntur,16.3,80.45,India,IN,IND,Andhra Pradesh,,670073.0,1356374905
Karaikandi,Karaikandi,24.8309,92.6143,India,IN,IND,Assam,,659260.0,1356669973
